crop,soil_moisture,temperature,humidity,nitrogen,phosphorus,potassium,ph,action
Wheat,41.58,19.83,61.06,67.97,41.74,75.28,6.99,Optimal
Tomato,48.2,24.21,67.54,71.16,47.73,93.49,6.69,Monitor
Rice,99.2,25.81,106.6,87.03,54.4,82.63,6.01,Harvest
Rice,64.64,43.4,96.9,84.64,42.61,77.78,6.09,Apply Pesticide
Soybean,75.7,23.27,92.7,44.86,47.53,81.49,6.4,Harvest
Wheat,36.1,20.72,61.66,64.57,34.71,65.74,6.36,Monitor
Wheat,29.6,21.18,62.38,60.24,37.35,62.86,6.59,Monitor
Soybean,79.3,23.11,88.5,48.74,47.02,89.93,6.52,Harvest
Potato,55.28,21.38,71.62,84.13,53.75,110.29,5.6,Optimal
Sugarcane,63.22,49.2,93.6,105.74,46.07,107.19,6.91,Apply Pesticide
Soybean,23.7,25.38,38.0,42.14,44.34,75.53,6.62,Irrigate
Maize,55.23,29.46,65.93,32.7,46.57,84.95,6.58,Fertilize
Maize,85.4,28.72,82.5,109.33,58.27,97.95,6.17,Harvest
Sugarcane,92.4,29.7,101.7,116.31,47.65,119.42,6.78,Harvest
Cotton,23.3,31.4,53.92,50.38,30.11,67.24,6.73,Monitor
Soybean,25.8,27.42,34.6,39.47,45.77,85.1,6.43,Irrigate
Cotton,31.4,34.84,49.66,49.23,31.76,64.44,7.02,Monitor
Tomato,59.55,25.47,73.68,17.8,52.71,90.52,6.46,Fertilize
Tomato,62.09,24.15,66.61,5.2,53.84,92.75,6.56,Fertilize
Tomato,47.3,26.88,65.03,71.56,46.52,87.92,6.44,Monitor
Wheat,73.2,20.86,82.6,80.06,45.11,80.8,6.81,Harvest
Potato,46.6,19.29,72.01,75.16,49.24,104.53,5.53,Monitor
Wheat,31.9,19.93,59.54,57.67,35.87,62.69,7.06,Monitor
Maize,27.2,27.68,32.6,91.32,53.61,83.68,6.28,Irrigate
Potato,58.04,18.8,72.43,47.4,51.88,107.67,5.72,Fertilize
Soybean,51.18,36.0,93.5,38.53,44.29,80.2,6.56,Apply Pesticide
Sugarcane,69.03,30.62,71.15,106.29,13.5,107.0,6.64,Fertilize
Cotton,59.7,29.27,71.1,67.92,40.53,74.37,6.63,Harvest
Cotton,16.5,35.44,38.1,59.55,34.25,66.53,7.04,Irrigate
Rice,99.0,28.17,95.7,93.09,53.33,87.74,6.04,Harvest
Cotton,65.7,29.48,81.7,64.07,40.14,79.41,7.11,Harvest
Rice,66.27,25.56,74.07,83.03,46.18,79.68,6.42,Optimal
Sugarcane,50.7,34.06,72.56,85.95,42.54,93.02,6.8,Monitor
Soybean,49.9,40.9,83.1,37.71,48.36,78.61,6.4,Apply Pesticide
Rice,71.44,25.36,86.22,83.59,10.4,81.01,6.46,Fertilize
Rice,75.47,26.8,82.41,75.4,44.9,73.95,6.25,Optimal
Potato,34.8,21.26,44.3,85.78,52.28,121.54,5.67,Irrigate
Rice,23.5,30.21,34.2,83.36,47.25,77.98,6.22,Irrigate
Wheat,44.2,19.5,55.41,68.43,42.49,72.13,6.56,Optimal
Potato,94.2,18.74,95.5,86.29,60.7,135.93,5.66,Harvest
Rice,57.6,27.45,81.07,68.77,43.63,69.84,6.32,Monitor
Tomato,62.55,24.1,69.04,82.88,22.2,96.62,6.35,Fertilize
Tomato,64.38,24.41,67.99,83.11,47.36,94.88,6.52,Optimal
Soybean,27.1,27.86,24.0,38.24,45.63,82.86,6.3,Irrigate
Wheat,11.0,20.91,39.1,75.57,41.84,74.22,6.88,Irrigate
Soybean,50.6,23.69,67.54,37.7,6.1,74.15,6.47,Fertilize
Sugarcane,90.0,29.41,97.6,116.57,50.87,121.47,6.78,Harvest
Wheat,41.57,21.5,62.97,72.81,41.67,68.76,6.89,Optimal
Tomato,53.0,25.62,66.68,68.86,45.5,87.23,6.86,Monitor
Maize,51.17,25.43,61.62,54.2,50.84,88.94,6.41,Fertilize
Soybean,51.91,34.5,94.8,38.64,48.46,85.23,6.25,Apply Pesticide
Soybean,47.62,23.94,64.16,41.32,42.6,79.59,6.68,Optimal
Cotton,40.01,33.44,57.03,62.16,10.6,68.87,7.04,Fertilize
Soybean,47.36,39.0,83.8,42.42,45.32,79.36,6.69,Apply Pesticide
Cotton,39.7,29.43,56.11,7.3,35.68,70.31,7.02,Fertilize
Soybean,50.18,26.58,69.24,38.7,42.13,78.0,6.27,Optimal
Sugarcane,89.1,30.44,98.3,127.66,54.35,113.81,6.77,Harvest
Tomato,52.1,24.9,69.94,70.4,47.69,87.52,6.33,Monitor
Sugarcane,57.4,31.95,71.52,99.27,41.98,96.89,6.92,Monitor
Potato,82.8,20.71,95.6,96.51,56.92,126.66,5.56,Harvest
Soybean,52.11,24.21,62.74,41.45,45.06,75.38,6.52,Optimal
Wheat,44.12,20.4,58.13,71.32,38.56,64.97,6.97,Optimal
Wheat,80.0,18.28,80.5,84.11,41.45,79.34,6.52,Harvest
Sugarcane,64.6,29.03,79.2,104.14,44.79,102.65,6.71,Optimal
Sugarcane,50.4,33.19,73.31,98.51,40.04,98.89,6.92,Monitor
Rice,72.87,26.82,77.3,85.12,42.24,85.84,6.16,Optimal
Cotton,38.84,33.17,55.88,21.3,32.84,67.38,7.17,Fertilize
Rice,66.44,25.21,82.74,76.11,16.1,78.6,6.21,Fertilize
Wheat,69.1,19.99,81.1,78.3,43.12,82.24,6.64,Harvest
Wheat,13.0,22.29,37.3,71.86,39.14,65.07,6.93,Irrigate
Sugarcane,88.5,29.92,101.5,125.57,49.47,110.24,6.54,Harvest
Potato,61.62,19.6,71.45,75.54,55.77,108.98,5.57,Optimal
Wheat,47.69,37.1,92.1,64.58,37.1,70.56,7.02,Apply Pesticide
Rice,67.86,25.34,86.22,77.55,5.5,76.15,6.29,Fertilize
Cotton,38.38,29.0,53.69,62.85,33.69,71.61,6.68,Optimal
Rice,66.32,28.33,82.47,28.9,46.44,78.87,6.07,Fertilize
Rice,48.0,29.53,36.9,77.45,42.73,83.28,6.24,Irrigate
Rice,91.9,27.21,101.9,96.55,52.66,83.99,6.36,Harvest
Wheat,43.51,20.22,64.64,66.84,16.8,72.4,6.93,Fertilize
Cotton,42.03,29.97,55.68,58.92,6.1,74.15,7.16,Fertilize
Soybean,41.6,26.72,61.54,35.7,37.31,68.27,6.19,Monitor
Rice,56.8,28.49,72.34,71.57,43.29,77.73,5.9,Monitor
Potato,55.94,18.87,73.27,22.8,56.7,117.84,5.59,Fertilize
Rice,70.47,38.8,95.0,78.1,41.86,86.22,6.02,Apply Pesticide
Potato,48.0,20.86,70.97,72.79,48.49,110.91,5.95,Monitor
Soybean,76.8,23.43,80.5,49.08,52.14,82.01,6.39,Harvest
Cotton,14.9,33.45,22.8,55.89,36.84,69.6,7.17,Irrigate
Soybean,23.4,24.72,27.5,41.74,48.56,80.34,6.42,Irrigate
Tomato,92.8,25.67,96.7,101.97,52.05,105.01,6.49,Harvest
Rice,93.0,27.75,105.4,92.22,47.42,83.99,6.33,Harvest
Sugarcane,64.48,44.2,94.2,98.64,41.69,101.47,6.85,Apply Pesticide
Tomato,48.2,23.78,73.05,80.33,47.81,84.81,6.21,Monitor
Sugarcane,61.56,30.58,69.92,58.4,46.62,103.95,6.71,Fertilize
Maize,88.9,25.43,81.9,109.86,51.94,100.9,6.38,Harvest
Maize,50.77,48.3,87.5,91.97,50.13,94.65,6.2,Apply Pesticide
Tomato,78.3,26.09,94.2,99.27,51.81,96.67,6.48,Harvest
Maize,21.1,30.49,20.4,89.2,51.48,96.68,6.47,Irrigate
Cotton,24.0,30.07,49.62,52.29,30.16,64.01,6.89,Monitor
Wheat,29.8,19.29,56.46,61.26,36.82,59.26,6.92,Monitor
Tomato,64.54,23.56,66.49,91.17,46.74,99.82,6.67,Optimal
Wheat,43.94,21.05,55.29,73.34,40.46,75.44,6.8,Optimal
Sugarcane,64.21,29.09,75.68,102.46,42.74,105.0,6.66,Optimal
Potato,56.82,21.57,66.09,28.4,50.75,113.9,5.52,Fertilize
Wheat,48.45,32.8,88.2,65.27,39.01,73.39,6.74,Apply Pesticide
Wheat,29.0,19.24,60.36,58.79,35.7,69.31,7.01,Monitor
Wheat,45.45,20.01,59.92,70.83,7.0,71.83,6.75,Fertilize
Soybean,49.79,23.08,69.35,39.18,43.53,81.4,6.51,Optimal
Maize,39.2,29.98,61.95,82.09,43.91,77.83,6.38,Monitor
Cotton,42.25,45.6,84.0,60.88,36.21,71.86,6.73,Apply Pesticide
Cotton,39.0,46.4,89.8,57.38,34.86,73.53,7.17,Apply Pesticide
Sugarcane,70.19,51.9,95.4,103.17,43.01,98.33,6.51,Apply Pesticide
Rice,8.7,30.46,26.3,82.25,46.49,81.41,6.16,Irrigate
Rice,96.7,25.11,97.4,85.59,52.52,86.98,6.31,Harvest
Wheat,67.9,19.86,79.7,81.24,44.17,72.92,6.52,Harvest
Cotton,27.9,34.7,51.74,48.89,32.32,65.47,7.23,Monitor
Cotton,11.0,34.46,40.9,63.19,36.59,67.81,6.91,Irrigate
Soybean,41.0,26.31,64.1,35.75,41.92,70.4,6.43,Monitor
Maize,39.1,27.35,61.04,81.97,43.37,79.51,6.28,Monitor
Wheat,42.76,34.4,96.4,72.4,39.88,74.66,6.79,Apply Pesticide
Cotton,31.6,31.5,56.88,56.17,31.74,66.3,6.83,Monitor
Soybean,52.3,25.57,67.67,5.5,46.14,79.04,6.72,Fertilize
Wheat,8.9,21.68,30.3,67.84,37.79,73.81,6.51,Irrigate
Cotton,37.61,42.3,90.6,60.46,32.22,68.68,7.13,Apply Pesticide
Tomato,48.4,24.29,70.76,78.91,41.97,86.61,6.58,Monitor
Soybean,39.9,26.24,67.25,36.37,39.99,77.92,6.13,Monitor
Potato,60.76,20.51,73.93,82.21,52.33,113.59,5.8,Optimal
Soybean,48.3,26.81,61.91,5.6,42.1,75.11,6.64,Fertilize
Cotton,37.15,31.36,52.91,6.9,34.8,66.32,6.77,Fertilize
Potato,92.8,19.46,91.6,87.1,58.61,122.07,5.78,Harvest
Cotton,38.48,30.18,54.85,5.8,35.8,73.62,7.03,Fertilize
Cotton,13.9,32.52,41.5,58.6,32.47,66.8,6.74,Irrigate
Maize,51.2,26.99,62.25,44.2,47.82,89.39,6.56,Fertilize
Wheat,45.74,19.55,59.46,32.3,38.97,65.4,6.97,Fertilize
Soybean,52.21,24.36,61.74,38.07,48.49,75.5,6.71,Optimal
Rice,66.07,25.88,85.58,80.26,9.9,84.78,6.2,Fertilize
Maize,54.99,46.6,84.4,97.25,47.59,84.75,6.33,Apply Pesticide
Wheat,70.5,19.37,83.7,76.91,43.98,78.54,6.5,Harvest
Rice,61.6,27.66,81.76,66.77,38.29,75.45,6.55,Monitor
Rice,102.4,25.34,99.6,97.98,53.63,94.71,6.45,Harvest
Cotton,42.98,29.57,51.77,58.55,33.36,72.2,7.15,Optimal
Wheat,17.5,21.42,25.2,73.29,42.87,74.38,6.65,Irrigate
Cotton,37.76,46.8,71.6,58.63,32.3,67.31,7.12,Apply Pesticide
Maize,73.6,24.93,87.7,115.65,55.54,101.0,6.56,Harvest
Potato,57.55,34.9,91.3,75.13,54.46,106.26,5.59,Apply Pesticide
Cotton,41.37,50.5,93.8,59.67,36.95,64.8,6.79,Apply Pesticide
Maize,34.8,30.45,25.0,92.22,50.14,91.03,6.24,Irrigate
Maize,21.1,29.65,41.9,89.91,53.15,88.42,6.58,Irrigate
Cotton,39.6,51.8,71.6,58.31,36.76,71.26,6.93,Apply Pesticide
Potato,58.04,21.09,71.3,74.24,51.38,110.96,5.78,Optimal
Cotton,41.52,47.9,75.8,56.34,34.78,68.91,7.0,Apply Pesticide
Sugarcane,20.5,33.33,28.3,99.69,46.24,97.25,6.96,Irrigate
Cotton,40.45,33.71,56.7,58.16,37.59,68.24,7.17,Optimal
Tomato,62.77,38.3,88.3,80.19,53.42,90.92,6.51,Apply Pesticide
Sugarcane,64.78,47.9,93.4,100.83,43.36,111.02,6.5,Apply Pesticide
Cotton,37.16,30.65,52.33,60.18,4.6,75.33,7.09,Fertilize
Sugarcane,61.69,32.73,79.93,109.51,46.03,106.75,6.72,Optimal
Tomato,64.5,41.7,96.6,78.65,47.8,101.31,6.32,Apply Pesticide
Soybean,49.39,36.6,87.6,42.58,44.61,75.79,6.65,Apply Pesticide
Cotton,40.8,30.69,56.97,57.47,33.43,65.09,6.84,Optimal
Cotton,37.4,29.49,56.53,14.3,33.19,67.03,7.02,Fertilize
Maize,53.16,25.94,63.22,93.03,51.99,95.27,6.53,Optimal
Rice,57.5,29.47,78.48,74.66,38.53,69.68,6.31,Monitor
Potato,52.7,20.52,69.91,75.55,52.9,113.66,6.02,Monitor
Maize,56.36,25.88,61.17,6.9,52.09,87.57,6.26,Fertilize
Soybean,69.9,23.39,90.8,42.48,46.78,90.63,6.44,Harvest
Potato,59.81,38.8,94.4,82.15,58.77,118.59,5.66,Apply Pesticide
Cotton,41.39,33.64,55.08,63.34,32.45,69.11,6.87,Optimal
Wheat,32.8,20.54,54.36,64.58,35.89,67.71,7.01,Monitor
Cotton,12.7,30.92,40.5,56.83,35.08,71.54,7.03,Irrigate
Maize,58.55,40.2,95.8,99.25,49.13,84.0,6.15,Apply Pesticide
Sugarcane,67.02,33.81,71.53,101.64,3.0,100.39,6.71,Fertilize
Tomato,49.6,27.12,72.74,74.2,45.59,84.7,6.77,Monitor
Wheat,30.5,21.72,62.4,60.76,38.71,65.71,6.68,Monitor
Maize,89.6,28.06,89.9,103.68,54.49,97.09,6.4,Harvest
Potato,92.6,20.38,89.0,91.68,61.14,134.54,5.8,Harvest
Potato,81.6,18.1,89.1,92.15,60.19,119.06,5.74,Harvest
Rice,100.4,26.94,101.1,90.35,49.4,89.97,6.25,Harvest
Maize,44.4,26.58,67.07,85.24,46.64,80.72,6.74,Monitor
Cotton,62.2,32.58,78.0,70.76,41.8,77.33,6.87,Harvest
Tomato,64.07,24.84,70.7,85.11,50.31,91.08,6.54,Optimal
Sugarcane,59.82,30.71,80.15,109.38,44.29,112.2,6.97,Optimal
Maize,39.2,27.92,60.37,82.99,43.67,87.17,6.78,Monitor
Soybean,42.8,26.04,63.19,32.42,40.4,75.52,6.43,Monitor
Potato,63.28,35.8,86.0,75.06,54.87,123.13,5.58,Apply Pesticide
Cotton,41.22,32.79,51.66,8.6,36.26,65.01,6.81,Fertilize
Rice,54.0,27.35,77.78,74.08,37.75,71.82,6.51,Monitor
Potato,56.92,21.32,68.11,43.5,53.0,106.57,5.76,Fertilize
Tomato,64.15,36.3,95.7,78.85,52.72,95.76,6.28,Apply Pesticide
Maize,89.2,26.26,80.6,104.7,52.43,96.54,6.47,Harvest
Soybean,53.99,23.89,59.9,5.1,43.01,86.31,6.28,Fertilize
Potato,57.56,20.32,71.74,76.31,27.6,119.92,5.75,Fertilize
Potato,49.1,19.42,64.55,75.96,51.78,99.25,5.44,Monitor
Maize,54.58,26.14,67.63,22.1,48.03,85.12,6.39,Fertilize
Maize,51.52,28.24,64.78,36.9,50.51,93.79,6.31,Fertilize
Maize,51.17,25.47,61.16,35.8,50.29,96.37,6.5,Fertilize
Rice,72.85,25.29,85.15,80.07,47.35,77.7,6.45,Optimal
Tomato,48.2,24.12,64.1,72.63,47.01,91.93,6.24,Monitor
Sugarcane,54.3,30.76,78.5,91.45,38.22,90.01,6.69,Monitor
Cotton,36.88,31.49,54.66,57.04,33.8,64.74,7.06,Optimal
Cotton,26.4,30.85,54.47,54.19,30.01,63.59,6.98,Monitor
Wheat,72.3,17.94,83.4,82.24,42.25,75.14,6.8,Harvest
Tomato,44.1,24.19,71.03,70.85,47.92,83.38,6.49,Monitor
Maize,46.3,27.62,65.12,77.59,44.74,88.6,6.22,Monitor
Wheat,22.8,22.6,37.3,68.95,39.29,69.87,6.71,Irrigate
Maize,52.33,25.42,65.18,92.24,46.35,96.92,6.49,Optimal
Maize,58.53,27.29,65.14,101.82,26.5,92.33,6.63,Fertilize
Wheat,45.36,21.18,62.53,74.13,36.93,67.13,6.53,Optimal
Tomato,63.93,34.9,85.2,88.68,48.01,95.47,6.48,Apply Pesticide
Wheat,44.68,37.9,86.9,74.74,40.07,67.68,6.67,Apply Pesticide
Wheat,70.1,20.32,81.9,80.25,47.0,76.06,6.91,Harvest
Rice,72.65,28.88,85.45,79.37,42.22,86.21,6.42,Optimal
Soybean,31.0,28.17,40.0,38.57,43.74,78.75,6.65,Irrigate
Sugarcane,21.7,34.32,22.1,99.95,47.72,101.53,6.59,Irrigate
Rice,68.45,27.59,74.5,78.23,13.2,86.35,6.24,Fertilize
Rice,66.43,25.13,83.09,80.95,47.46,75.39,6.4,Optimal
Rice,56.5,26.54,72.84,74.68,40.11,75.07,6.24,Monitor
Wheat,70.5,18.36,79.1,76.8,42.12,75.49,6.77,Harvest
Cotton,63.1,28.62,71.3,69.62,37.98,74.09,6.75,Harvest
Potato,59.54,20.15,68.91,79.78,52.15,107.24,5.72,Optimal
Maize,31.3,30.65,39.0,100.24,48.77,87.74,6.63,Irrigate
Wheat,44.59,20.72,60.66,16.2,41.45,72.06,6.81,Fertilize
Rice,65.82,27.1,83.46,76.36,45.88,74.69,6.03,Optimal
Maize,11.1,29.2,34.7,101.14,51.01,96.99,6.16,Irrigate
Potato,29.7,19.65,31.0,75.99,53.94,108.4,5.88,Irrigate
Tomato,86.7,24.09,94.8,97.54,54.37,103.98,6.49,Harvest
Tomato,55.9,24.52,69.07,40.3,53.88,90.29,6.35,Fertilize
Maize,51.89,28.13,65.65,90.4,8.8,87.75,6.51,Fertilize
Rice,60.9,26.34,71.85,66.86,42.22,72.48,6.55,Monitor
Maize,58.86,28.0,64.95,97.55,19.9,85.28,6.53,Fertilize
Sugarcane,66.75,47.6,96.2,102.65,46.53,101.11,6.85,Apply Pesticide
Soybean,46.02,25.64,66.1,39.38,48.36,82.47,6.37,Optimal
Tomato,33.8,24.53,28.3,81.65,46.9,101.29,6.56,Irrigate
Maize,40.0,30.36,67.57,81.82,41.86,84.53,6.25,Monitor
Sugarcane,51.9,34.62,77.45,92.46,41.71,93.8,6.6,Monitor
Cotton,11.4,32.5,29.8,60.87,37.2,75.41,6.96,Irrigate
Potato,57.16,36.2,88.1,74.79,57.16,109.64,5.57,Apply Pesticide
Tomato,44.5,25.26,69.66,80.48,44.09,83.38,6.42,Monitor
Sugarcane,57.1,31.05,77.9,88.81,37.28,103.89,6.74,Monitor
Tomato,63.2,26.66,68.64,86.19,50.69,101.07,6.68,Optimal
Soybean,68.7,25.62,83.7,42.74,51.86,91.56,6.57,Harvest
Maize,53.11,44.1,84.9,87.47,46.33,93.86,6.19,Apply Pesticide
Tomato,44.2,23.88,66.4,77.24,47.57,92.44,6.15,Monitor
Soybean,30.7,25.36,40.4,42.63,47.5,80.73,6.75,Irrigate
Sugarcane,33.1,34.14,29.9,108.98,48.54,106.88,6.83,Irrigate
Soybean,46.38,23.19,68.32,37.25,47.53,85.44,6.25,Optimal
Potato,61.29,38.5,94.1,84.79,57.02,124.1,5.86,Apply Pesticide
Potato,59.85,19.43,70.61,86.26,4.3,119.96,5.53,Fertilize
Maize,53.29,42.1,94.2,99.36,48.35,83.97,6.33,Apply Pesticide
Maize,53.87,26.64,61.59,91.43,50.02,94.86,6.29,Optimal
Cotton,30.3,30.79,52.81,52.23,33.92,59.44,7.15,Monitor
Soybean,38.6,23.79,62.63,33.29,40.98,75.73,6.64,Monitor
Maize,46.3,30.54,62.49,81.87,46.45,76.95,6.03,Monitor
Rice,59.6,26.31,80.51,72.96,40.01,78.6,5.98,Monitor
Rice,38.3,27.23,20.2,82.86,45.26,84.3,6.41,Irrigate
Rice,100.7,24.68,98.3,95.41,47.7,85.91,6.13,Harvest
Wheat,42.35,33.4,88.5,70.61,43.06,73.2,6.9,Apply Pesticide
Tomato,84.1,23.08,93.9,101.62,58.3,105.9,6.37,Harvest
Soybean,52.08,40.5,82.3,40.77,48.06,73.66,6.75,Apply Pesticide
Rice,71.41,26.95,78.74,86.32,47.74,81.58,6.28,Optimal
Maize,58.86,46.0,86.4,99.9,47.73,96.21,6.5,Apply Pesticide
Wheat,42.63,32.6,75.7,65.93,41.06,72.16,6.85,Apply Pesticide
Rice,97.0,26.57,97.6,88.87,47.67,84.47,6.11,Harvest
Potato,92.7,18.21,97.6,98.08,63.1,127.02,5.7,Harvest
Cotton,41.42,31.76,50.81,59.13,36.41,75.09,7.11,Optimal
Rice,55.3,29.61,73.59,72.45,40.7,68.69,6.08,Monitor
Cotton,9.9,35.55,20.9,59.84,33.38,65.05,6.98,Irrigate
Cotton,32.8,30.25,55.82,49.61,30.48,65.09,6.74,Monitor
Rice,19.4,26.32,38.2,75.15,43.58,80.42,6.28,Irrigate
Maize,83.2,24.91,84.9,116.3,55.57,96.23,6.47,Harvest
Maize,54.31,27.77,62.18,93.67,48.69,92.24,6.65,Optimal
Wheat,42.28,35.8,79.6,71.44,38.23,68.74,6.94,Apply Pesticide
Potato,55.81,31.2,84.1,74.65,59.11,113.19,5.94,Apply Pesticide
Wheat,8.6,21.36,34.2,65.49,40.61,75.58,6.99,Irrigate
Cotton,21.8,34.4,26.4,59.94,32.48,70.35,6.68,Irrigate
Cotton,29.7,31.06,54.87,53.21,33.52,67.46,6.62,Monitor
Potato,56.31,18.71,75.18,35.1,51.56,112.02,5.83,Fertilize
Potato,50.0,19.4,73.11,69.77,48.64,107.24,5.47,Monitor
Sugarcane,65.2,49.5,90.9,96.96,43.86,99.16,7.01,Apply Pesticide
Potato,64.59,19.27,64.45,84.66,51.19,121.89,5.89,Optimal
Cotton,37.41,32.51,53.51,56.44,36.3,68.11,7.03,Optimal
Rice,9.1,29.24,38.1,84.31,48.42,86.09,6.03,Irrigate
Tomato,62.06,41.9,84.7,85.31,49.84,94.06,6.25,Apply Pesticide
Potato,57.64,30.2,84.2,77.47,58.86,122.14,5.72,Apply Pesticide
Wheat,26.0,19.97,42.6,65.0,38.77,67.63,6.82,Irrigate
Potato,64.29,29.3,87.8,75.72,56.47,110.5,5.73,Apply Pesticide
Potato,89.5,19.32,92.9,85.38,66.17,125.93,5.88,Harvest
Soybean,49.13,39.2,92.2,42.16,41.84,75.71,6.54,Apply Pesticide
Cotton,41.05,30.49,54.91,22.5,36.75,68.25,6.8,Fertilize
Cotton,32.0,33.51,49.55,53.23,30.92,66.96,6.97,Monitor
Soybean,71.0,23.23,86.8,48.65,51.81,81.35,6.31,Harvest
Soybean,18.0,26.48,23.3,42.24,44.88,81.8,6.59,Irrigate
Tomato,85.3,22.39,95.3,102.56,58.37,112.28,6.26,Harvest
Wheat,74.1,20.02,79.5,80.18,44.11,82.51,6.65,Harvest
Wheat,43.46,18.71,63.76,5.4,36.81,73.66,7.02,Fertilize
Soybean,47.72,25.98,62.53,37.61,8.6,75.79,6.46,Fertilize
Sugarcane,83.0,29.67,94.0,117.85,52.82,112.76,6.76,Harvest
Sugarcane,55.6,34.3,70.19,89.47,37.93,102.1,7.0,Monitor
Maize,39.2,26.65,63.0,86.71,46.13,82.19,6.58,Monitor
Maize,73.3,24.99,91.7,115.14,59.05,97.6,6.22,Harvest
Maize,56.4,28.72,60.56,96.22,53.46,84.35,6.19,Optimal
Cotton,73.9,32.96,81.1,65.93,38.68,71.93,6.71,Harvest
Cotton,42.93,32.5,55.8,9.9,33.05,71.2,6.75,Fertilize
Tomato,56.98,34.7,87.4,79.62,46.47,90.82,6.43,Apply Pesticide
Soybean,48.47,23.6,64.37,5.2,43.0,85.94,6.32,Fertilize
Soybean,50.21,35.9,95.1,39.47,47.65,76.57,6.57,Apply Pesticide
Rice,56.7,29.36,73.41,67.82,37.54,72.0,6.15,Monitor
Tomato,62.71,25.78,68.32,83.1,19.3,93.0,6.73,Fertilize
Potato,43.8,21.47,66.11,67.2,51.2,98.43,5.74,Monitor
Cotton,72.7,29.09,82.6,74.38,40.43,77.02,7.06,Harvest
Maize,53.19,40.1,91.0,91.66,52.75,91.51,6.58,Apply Pesticide
Soybean,48.37,40.1,84.0,41.48,45.11,76.97,6.5,Apply Pesticide
Soybean,46.06,25.74,62.09,42.45,43.68,80.48,6.41,Optimal
Wheat,46.14,18.7,62.26,64.88,5.7,71.84,6.53,Fertilize
Cotton,37.72,31.34,50.84,14.9,36.12,67.0,7.07,Fertilize
Cotton,28.6,34.96,55.26,49.66,30.71,62.33,7.19,Monitor
